Straftat;Gemeindeschluessel;Stadt/Landkreis;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
Vorsätzliche einfache Körperverletzung § 223 StGB;9775;Neu-Ulm;vers.;65;43;22;0;0;0;1;0;1;1;0;1;8;5;3;6;5;1;46;31;15;4;2;2;50;33;17
Vorsätzliche einfache Körperverletzung § 223 StGB;9775;Neu-Ulm;insg.;782;453;329;5;4;1;40;30;10;45;34;11;66;42;24;66;42;24;543;303;240;62;32;30;605;335;270
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9775;Neu-Ulm;voll.;150;120;30;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;147;117;30;0;0;0;147;117;30
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9775;Neu-Ulm;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9775;Neu-Ulm;insg.;150;120;30;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;147;117;30;0;0;0;147;117;30
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;9775;Neu-Ulm;voll.;48;38;10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;47;37;10;0;0;0;47;37;10
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;9775;Neu-Ulm;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;9775;Neu-Ulm;insg.;48;38;10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;47;37;10;0;0;0;47;37;10
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;9775;Neu-Ulm;voll.;102;82;20;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;100;80;20;0;0;0;100;80;20
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;9775;Neu-Ulm;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;9775;Neu-Ulm;insg.;102;82;20;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;100;80;20;0;0;0;100;80;20
Gewaltkriminalität;9775;Neu-Ulm;voll.;359;239;120;7;6;1;19;15;4;26;21;5;46;33;13;40;29;11;233;148;85;14;8;6;247;156;91
Gewaltkriminalität;9775;Neu-Ulm;vers.;76;56;20;1;1;0;0;0;0;1;1;0;5;4;1;6;4;2;57;43;14;7;4;3;64;47;17
Gewaltkriminalität;9775;Neu-Ulm;insg.;435;295;140;8;7;1;19;15;4;27;22;5;51;37;14;46;33;13;290;191;99;21;12;9;311;203;108
Mord Totschlag und Tötung auf Verlangen;9775;Neu-Ulm;voll.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
